"id","key","query","name","description","created_at","updated_at","not_cacheable"
70,"geothermal_output_of_electricity","DIVIDE(SUM(
NEG(V(
geothermal_electricity_energy;output_of_electricity)),V(
geothermal_agri_agriculture_energetic
;input_of_electricity)),BILLIONS)","","","2010-06-07 15:48:38","2010-06-07 15:57:13",0
71,"electricity_growth","DIVIDE(
 SUM(
  V(
   electricity_excl_heating_demand_households_energetic,
   electricity_agriculture_energetic,
   electricity_industry_energetic,
   electricity_other_energetic;output_of_electricity
  ),
  NEG(
   SUM(
    V(
     electricity_demand_lighting_households_energetic,
     heat_pump_with_CHS_agri_agriculture_energetic,
     geothermal_agri_agriculture_energetic;input_of_electricity
    )
   )
  )
),BILLIONS)","","","2010-06-08 08:54:13","2010-06-08 09:34:20",0
72,"electricity_for_heat_without_heatpumps","DIVIDE(SUM(V(electric_boiler_households_energetic,electric_heater_households_energetic;input_of_electricity)),BILLIONS)","","","2010-06-08 09:09:47","2010-06-08 09:09:47",0
73,"all_biofuels_transport_primary","DIVIDE(SUM(
V(INTERSECTION(SECTOR(transport),G(final_demand_cbs));primary_demand_of_biodiesel),
V(INTERSECTION(SECTOR(transport),G(final_demand_cbs));primary_demand_of_biofuel),
V(INTERSECTION(SECTOR(transport),G(final_demand_cbs));primary_demand_of_algae_diesel),
V(INTERSECTION(SECTOR(transport),G(final_demand_cbs));primary_demand_of_bio_ethanol)),BILLIONS)","","","2010-06-10 16:08:47","2010-06-10 16:08:47",0
74,"all_biofuels_agriculture_primary","DIVIDE(SUM(
V(INTERSECTION(SECTOR(agriculture),G(final_demand_cbs));primary_demand_of_biodiesel),
V(INTERSECTION(SECTOR(agriculture),G(final_demand_cbs));primary_demand_of_biofuel),
V(INTERSECTION(SECTOR(agriculture),G(final_demand_cbs));primary_demand_of_algae_diesel),
V(INTERSECTION(SECTOR(agriculture),G(final_demand_cbs));primary_demand_of_bio_ethanol)),BILLIONS)","","","2010-06-10 16:10:11","2010-06-10 16:10:11",0
75,"all_biofuels_industry_primary","DIVIDE(SUM(
V(INTERSECTION(SECTOR(industry),G(final_demand_cbs));primary_demand_of_biodiesel),
V(INTERSECTION(SECTOR(industry),G(final_demand_cbs));primary_demand_of_biofuel),
V(INTERSECTION(SECTOR(industry),G(final_demand_cbs));primary_demand_of_algae_diesel),
V(INTERSECTION(SECTOR(industry),G(final_demand_cbs));primary_demand_of_bio_ethanol)),BILLIONS)","","","2010-06-10 16:10:29","2010-06-10 16:10:29",0
76,"all_biofuels_other_primary","DIVIDE(SUM(
V(INTERSECTION(SECTOR(other),G(final_demand_cbs));primary_demand_of_biodiesel),
V(INTERSECTION(SECTOR(other),G(final_demand_cbs));primary_demand_of_biofuel),
V(INTERSECTION(SECTOR(other),G(final_demand_cbs));primary_demand_of_algae_diesel),
V(INTERSECTION(SECTOR(other),G(final_demand_cbs));primary_demand_of_bio_ethanol)),BILLIONS)","","","2010-06-10 16:10:51","2010-06-10 16:10:51",0
77,"all_biofuels_households_primary","DIVIDE(SUM(
V(INTERSECTION(SECTOR(households),G(final_demand_cbs));primary_demand_of_biodiesel),
V(INTERSECTION(SECTOR(households),G(final_demand_cbs));primary_demand_of_biofuel),
V(INTERSECTION(SECTOR(households),G(final_demand_cbs));primary_demand_of_algae_diesel),
V(INTERSECTION(SECTOR(households),G(final_demand_cbs));primary_demand_of_bio_ethanol)),BILLIONS)","","","2010-06-10 16:11:09","2010-06-10 16:11:09",0
78,"all_biofuels_energy_primary","DIVIDE(SUM(
V(INTERSECTION(SECTOR(energy),G(final_demand_cbs));primary_demand_of_biodiesel),
V(INTERSECTION(SECTOR(energy),G(final_demand_cbs));primary_demand_of_biofuel),
V(INTERSECTION(SECTOR(energy),G(final_demand_cbs));primary_demand_of_algae_diesel),
V(INTERSECTION(SECTOR(energy),G(final_demand_cbs));primary_demand_of_bio_ethanol)),BILLIONS)","","","2010-06-10 16:11:26","2010-06-10 16:11:26",0
79,"all_biofuels_energy_final","DIVIDE(SUM(
V(INTERSECTION(SECTOR(energy),G(final_demand_cbs));input_of_biodiesel),
V(INTERSECTION(SECTOR(energy),G(final_demand_cbs));input_of_biofuel),
V(INTERSECTION(SECTOR(energy),G(final_demand_cbs));input_of_algae_diesel),
V(INTERSECTION(SECTOR(energy),G(final_demand_cbs));input_of_bio_ethanol)),BILLIONS)","","","2010-06-10 16:39:08","2010-06-10 16:39:08",0
